,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner
364,875551A,2015,Clontarf Cricket Club Ground,Oman,Afghanistan,41,1,62,5,24,3,127,9,Afghanistan,field,Dublin,Afghanistan
364,875551B,2015,Clontarf Cricket Club Ground,Afghanistan,Oman,28,3,63,1,39,1,130,5,Afghanistan,field,Dublin,Afghanistan
365,875545A,2015,"The Village, Malahide",Papua New Guinea,Afghanistan,20,2,62,1,45,1,127,4,Papua New Guinea,bat,Dublin,Afghanistan
365,875545B,2015,"The Village, Malahide",Afghanistan,Papua New Guinea,32,1,69,2,27,1,128,4,Papua New Guinea,bat,Dublin,Afghanistan
366,1199499A,2019,ICC Academy,Singapore,Scotland,51,2,77,1,40,3,168,6,Scotland,field,Dubai,Singapore
366,1199499B,2019,ICC Academy,Scotland,Singapore,64,0,63,5,39,4,166,9,Scotland,field,Dubai,Singapore
367,660223A,2013,Sheikh Zayed Stadium,Scotland,Netherlands,43,2,76,1,28,3,147,6,Scotland,bat,Abu Dhabi,Netherlands
367,660223B,2013,Sheikh Zayed Stadium,Netherlands,Scotland,49,1,79,1,21,0,149,2,Scotland,bat,Abu Dhabi,Netherlands
368,1310946A,2022,Harare Sports Club,Zimbabwe,Afghanistan,50,2,68,4,41,2,159,8,Zimbabwe,bat,Harare,Afghanistan
368,1310946B,2022,Harare Sports Club,Afghanistan,Zimbabwe,57,0,49,3,54,1,160,4,Zimbabwe,bat,Harare,Afghanistan
369,1332503A,2022,"Willowmoore Park, Benoni",Uganda,Mozambique,32,2,78,1,52,2,162,5,Uganda,bat,Benoni,Uganda
369,1332503B,2022,"Willowmoore Park, Benoni",Mozambique,Uganda,25,4,68,1,31,3,124,8,Uganda,bat,Benoni,Uganda
370,1336956A,2022,Sano International Cricket Ground,South Korea,Indonesia,38,0,47,5,13,1,98,6,South Korea,bat,Sano,Indonesia
370,1336956B,2022,Sano International Cricket Ground,Indonesia,South Korea,66,3,33,4,0,0,99,7,South Korea,bat,Sano,Indonesia
371,1217740A,2020,Terdthai Cricket Ground,Hong Kong,Nepal,48,0,72,4,34,2,154,6,Nepal,field,Bangkok,Hong Kong
371,1217740B,2020,Terdthai Cricket Ground,Nepal,Hong Kong,49,1,49,4,13,4,111,9,Nepal,field,Bangkok,Hong Kong
372,356002A,2009,Trent Bridge,Sri Lanka,West Indies,66,0,96,1,30,3,192,4,West Indies,field,Nottingham,Sri Lanka
372,356002B,2009,Trent Bridge,West Indies,Sri Lanka,65,1,69,3,43,1,177,5,West Indies,field,Nottingham,Sri Lanka
373,1256720A,2022,"Kensington Oval, Bridgetown, Barbados",England,West Indies,26,4,58,3,19,3,103,10,West Indies,field,Bridgetown,West Indies
373,1256720B,2022,"Kensington Oval, Bridgetown, Barbados",West Indies,England,37,0,54,1,13,0,104,1,West Indies,field,Bridgetown,West Indies
374,966713A,2016,Khan Shaheb Osman Ali Stadium,United Arab Emirates,Afghanistan,64,0,72,3,40,0,176,3,United Arab Emirates,bat,Fatullah,United Arab Emirates
374,966713B,2016,Khan Shaheb Osman Ali Stadium,Afghanistan,United Arab Emirates,39,3,84,2,37,5,160,10,United Arab Emirates,bat,Fatullah,United Arab Emirates
375,356016A,2009,Kennington Oval,Sri Lanka,West Indies,44,0,64,3,50,2,158,5,West Indies,field,London,Sri Lanka
375,356016B,2009,Kennington Oval,West Indies,Sri Lanka,29,3,68,4,4,2,101,9,West Indies,field,London,Sri Lanka
376,1321281A,2022,Tikkurila Cricket Ground,Austria,Luxembourg,70,1,58,5,11,4,139,10,Luxembourg,field,Vantaa,Austria
376,1321281B,2022,Tikkurila Cricket Ground,Luxembourg,Austria,41,1,56,5,6,3,103,9,Luxembourg,field,Vantaa,Austria
377,682941A,2014,Shere Bangla National Stadium,Australia,West Indies,41,3,91,2,46,3,178,8,Australia,bat,Mirpur,West Indies
377,682941B,2014,Shere Bangla National Stadium,West Indies,Australia,61,1,65,2,53,1,179,4,Australia,bat,Mirpur,West Indies
378,565810A,2012,Subrata Roy Sahara Stadium,England,India,51,0,66,3,40,2,157,5,India,field,Pune,India
378,565810B,2012,Subrata Roy Sahara Stadium,India,England,52,2,85,2,21,1,158,5,India,field,Pune,India
379,1208613A,2019,Tribhuvan University International Cricket Ground,Maldives,Nepal,25,2,46,4,23,1,94,7,Nepal,field,Kirtipur,Nepal
379,1208613B,2019,Tribhuvan University International Cricket Ground,Nepal,Maldives,30,1,64,2,4,0,98,3,Nepal,field,Kirtipur,Nepal
380,682955A,2014,Zahur Ahmed Chowdhury Stadium,Sri Lanka,New Zealand,35,3,58,4,26,3,119,10,New Zealand,field,Chittagong,Sri Lanka
380,682955B,2014,Zahur Ahmed Chowdhury Stadium,New Zealand,Sri Lanka,23,3,37,3,0,0,60,6,New Zealand,field,Chittagong,Sri Lanka
381,1122730A,2017,Holkar Cricket Stadium,India,Sri Lanka,59,0,143,1,58,3,260,4,Sri Lanka,field,Indore,India
381,1122730B,2017,Holkar Cricket Stadium,Sri Lanka,India,61,1,110,7,1,1,172,9,Sri Lanka,field,Indore,India
382,1321295A,2022,Tikkurila Cricket Ground,Czech Republic,Estonia,45,0,69,2,21,5,135,7,Czech Republic,bat,Vantaa,Czech Republic
382,1321295B,2022,Tikkurila Cricket Ground,Estonia,Czech Republic,17,0,55,6,21,2,93,8,Czech Republic,bat,Vantaa,Czech Republic
383,592268A,2013,ICC Global Cricket Academy,Kenya,Canada,38,3,58,3,30,2,126,8,Kenya,bat,Dubai,Canada
383,592268B,2013,ICC Global Cricket Academy,Canada,Kenya,29,1,70,4,29,0,128,5,Kenya,bat,Dubai,Canada
384,936157A,2017,Newlands,South Africa,Sri Lanka,48,0,76,2,45,2,169,4,South Africa,bat,Cape Town,Sri Lanka
384,936157B,2017,Newlands,Sri Lanka,South Africa,48,2,70,2,52,1,170,5,South Africa,bat,Cape Town,Sri Lanka
385,1251955A,2021,"Civil Service Cricket Club, Stormont, Belfast",South Africa,Ireland,35,0,98,1,56,1,189,2,South Africa,bat,Belfast,South Africa
385,1251955B,2021,"Civil Service Cricket Club, Stormont, Belfast",Ireland,South Africa,44,2,59,5,37,1,140,8,South Africa,bat,Belfast,South Africa
386,1019981A,2017,Bay Oval,New Zealand,Bangladesh,49,3,114,0,32,4,195,7,Bangladesh,field,Mount Maunganui,New Zealand
386,1019981B,2017,Bay Oval,Bangladesh,New Zealand,48,3,94,3,6,4,148,10,Bangladesh,field,Mount Maunganui,New Zealand
387,1322011A,2022,"Indian Association Ground, Singapore",Singapore,Papua New Guinea,29,2,101,2,38,0,168,4,Singapore,bat,Singapore,Singapore
387,1322011B,2022,"Indian Association Ground, Singapore",Papua New Guinea,Singapore,53,2,89,5,8,2,150,9,Singapore,bat,Singapore,Singapore
388,919605A,2015,Harare Sports Club,Pakistan,Zimbabwe,33,1,71,3,32,2,136,6,Pakistan,bat,,Pakistan
388,919605B,2015,Harare Sports Club,Zimbabwe,Pakistan,24,2,60,1,37,3,121,6,Pakistan,bat,,Pakistan
389,1243389A,2021,Narendra Modi Stadium,England,India,44,0,92,2,28,2,164,4,India,field,Ahmedabad,India
389,1243389B,2021,Narendra Modi Stadium,India,England,50,1,97,1,19,0,166,2,India,field,Ahmedabad,India
390,1322005A,2022,"UKM-YSD Cricket Oval, Bangi",Bhutan,Maldives,19,2,59,2,32,1,110,5,Maldives,field,Bangi,Bhutan
390,1322005B,2022,"UKM-YSD Cricket Oval, Bangi",Maldives,Bhutan,23,2,57,3,28,3,108,8,Maldives,field,Bangi,Bhutan
391,1271449A,2021,Bayer Uerdingen Cricket Ground,Norway,France,30,1,74,4,27,3,131,8,France,field,Krefeld,Norway
391,1271449B,2021,Bayer Uerdingen Cricket Ground,France,Norway,34,2,53,2,41,4,128,8,France,field,Krefeld,Norway
392,1278684A,2022,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",India,Sri Lanka,58,0,89,1,52,1,199,2,Sri Lanka,field,Lucknow,India
392,1278684B,2022,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sri Lanka,India,29,2,69,4,39,0,137,6,Sri Lanka,field,Lucknow,India
393,1278690A,2022,"Saurashtra Cricket Association Stadium, Rajkot",India,South Africa,40,1,71,2,58,2,169,5,South Africa,field,Rajkot,India
393,1278690B,2022,"Saurashtra Cricket Association Stadium, Rajkot",South Africa,India,35,3,51,5,1,1,87,9,South Africa,field,Rajkot,India
394,1273712A,2021,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,Oman,40,2,73,5,16,2,129,9,Oman,field,Al Amarat,Oman
394,1273712B,2021,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Papua New Guinea,46,0,85,0,0,0,131,0,Oman,field,Al Amarat,Oman
395,538068A,2011,Shere Bangla National Stadium,Pakistan,Bangladesh,51,1,61,5,23,1,135,7,Pakistan,bat,Mirpur,Pakistan
395,538068B,2011,Shere Bangla National Stadium,Bangladesh,Pakistan,16,2,50,3,19,1,85,6,Pakistan,bat,Mirpur,Pakistan
396,951325A,2016,Himachal Pradesh Cricket Association Stadium,Netherlands,Ireland,59,5,0,0,0,0,59,5,Ireland,field,Dharamsala,Netherlands
396,951325B,2016,Himachal Pradesh Cricket Association Stadium,Ireland,Netherlands,47,7,0,0,0,0,47,7,Ireland,field,Dharamsala,Netherlands
397,951331A,2016,Wankhede Stadium,England,West Indies,49,1,79,2,54,2,182,5,West Indies,field,Mumbai,West Indies
397,951331B,2016,Wankhede Stadium,West Indies,England,55,1,114,3,14,0,183,4,West Indies,field,Mumbai,West Indies
398,412695A,2010,"Kensington Oval, Bridgetown",West Indies,India,31,0,94,2,44,4,169,6,India,field,Barbados,West Indies
398,412695B,2010,"Kensington Oval, Bridgetown",India,West Indies,33,2,81,4,41,3,155,9,India,field,Barbados,West Indies
399,1197404A,2019,"White Hill Field, Sandys Parish",Cayman Islands,United States of America,25,2,33,6,8,1,66,9,Cayman Islands,bat,Hamilton,United States of America
399,1197404B,2019,"White Hill Field, Sandys Parish",United States of America,Cayman Islands,48,1,22,0,0,0,70,1,Cayman Islands,bat,Hamilton,United States of America
400,258464A,2007,Kennington Oval,West Indies,England,50,1,94,2,25,3,169,6,West Indies,bat,London,England
400,258464B,2007,Kennington Oval,England,West Indies,50,3,80,2,43,0,173,5,West Indies,bat,London,England
401,885969A,2015,Harare Sports Club,India,Zimbabwe,58,0,77,3,43,2,178,5,India,bat,,India
401,885969B,2015,Harare Sports Club,Zimbabwe,India,38,0,52,6,34,1,124,7,India,bat,,India
402,1276905A,2022,"Edgbaston, Birmingham",India,England,61,1,71,5,38,2,170,8,England,field,Birmingham,India
402,1276905B,2022,"Edgbaston, Birmingham",England,India,36,3,74,6,11,1,121,10,England,field,Birmingham,India
403,1289053A,2021,Integrated Polytechnic Regional Centre,Tanzania,Nigeria,35,2,64,2,37,1,136,5,Tanzania,bat,Kigali City,Tanzania
403,1289053B,2021,Integrated Polytechnic Regional Centre,Nigeria,Tanzania,41,2,26,8,0,0,67,10,Tanzania,bat,Kigali City,Tanzania
404,1328851A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Singapore,58,1,79,4,23,3,160,8,Singapore,field,Al Amarat,United Arab Emirates
404,1328851B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Singapore,United Arab Emirates,39,1,56,6,18,3,113,10,Singapore,field,Al Amarat,United Arab Emirates
405,1289047A,2021,Integrated Polytechnic Regional Centre,Nigeria,Kenya,31,1,69,3,30,1,130,5,Nigeria,bat,Kigali City,Kenya
405,1289047B,2021,Integrated Polytechnic Regional Centre,Kenya,Nigeria,41,2,95,0,0,0,136,2,Nigeria,bat,Kigali City,Kenya
406,249227A,2007,Sydney Cricket Ground,Australia,England,73,1,95,4,53,0,221,5,Australia,bat,,Australia
406,249227B,2007,Sydney Cricket Ground,England,Australia,53,3,62,2,29,2,144,7,Australia,bat,,Australia
407,1280063A,2021,"ICC Academy, Dubai",Papua New Guinea,Scotland,54,1,62,3,38,1,154,5,Papua New Guinea,bat,Dubai,Scotland
407,1280063B,2021,"ICC Academy, Dubai",Scotland,Papua New Guinea,58,1,79,2,19,0,156,3,Papua New Guinea,bat,Dubai,Scotland
408,1263475A,2022,Melbourne Cricket Ground,Australia,Sri Lanka,22,2,86,3,46,1,154,6,Australia,bat,Melbourne,Sri Lanka
408,1263475B,2022,Melbourne Cricket Ground,Sri Lanka,Australia,54,2,66,2,35,1,155,5,Australia,bat,Melbourne,Sri Lanka
409,1317486A,2022,Perth Stadium,England,Australia,58,0,115,3,35,3,208,6,Australia,field,Perth,England
409,1317486B,2022,Perth Stadium,Australia,England,62,1,107,4,31,4,200,9,Australia,field,Perth,England
410,875481A,2015,"Grange Cricket Club Ground, Raeburn Place",United Arab Emirates,Netherlands,44,2,54,2,21,3,119,7,Netherlands,field,Edinburgh,Netherlands
410,875481B,2015,"Grange Cricket Club Ground, Raeburn Place",Netherlands,United Arab Emirates,37,2,64,1,24,0,125,3,Netherlands,field,Edinburgh,Netherlands
411,1120292A,2017,Sheikh Zayed Stadium,Sri Lanka,Pakistan,42,0,64,1,18,7,124,8,Pakistan,field,Abu Dhabi,Pakistan
411,1120292B,2017,Sheikh Zayed Stadium,Pakistan,Sri Lanka,39,1,55,3,31,2,125,6,Pakistan,field,Abu Dhabi,Pakistan
412,1187005A,2019,"Punjab Cricket Association IS Bindra Stadium, Mohali",South Africa,India,39,1,83,2,27,2,149,5,India,field,Chandigarh,India
412,1187005B,2019,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,South Africa,47,0,73,2,31,0,151,2,India,field,Chandigarh,India
413,1199549A,2019,Dubai International Cricket Stadium,Papua New Guinea,Netherlands,30,2,58,2,40,3,128,7,Papua New Guinea,bat,Dubai,Netherlands
413,1199549B,2019,Dubai International Cricket Stadium,Netherlands,Papua New Guinea,43,1,61,2,30,0,134,3,Papua New Guinea,bat,Dubai,Netherlands
414,1333929A,2022,"Independence Park, Port Vila",Vanuatu,Cook Islands,49,1,111,3,0,0,160,4,Cook Islands,field,Port Vila,Vanuatu
414,1333929B,2022,"Independence Park, Port Vila",Cook Islands,Vanuatu,51,2,72,7,0,0,123,9,Cook Islands,field,Port Vila,Vanuatu
415,1134032A,2018,Sharjah Cricket Stadium,Afghanistan,Zimbabwe,45,1,84,2,29,6,158,9,Zimbabwe,field,,Afghanistan
415,1134032B,2018,Sharjah Cricket Stadium,Zimbabwe,Afghanistan,35,1,75,2,31,1,141,4,Zimbabwe,field,,Afghanistan
416,1283026A,2021,Integrated Polytechnic Regional Centre,Swaziland,Malawi,48,2,40,5,9,2,97,9,Malawi,field,Kigali City,Malawi
416,1283026B,2021,Integrated Polytechnic Regional Centre,Malawi,Swaziland,44,1,55,0,0,0,99,1,Malawi,field,Kigali City,Malawi
417,533288A,2012,Pallekele International Cricket Stadium,New Zealand,England,39,1,67,2,42,2,148,5,New Zealand,bat,,England
417,533288B,2012,Pallekele International Cricket Stadium,England,New Zealand,37,1,89,1,23,2,149,4,New Zealand,bat,,England
418,1283032A,2021,Integrated Polytechnic Regional Centre,Swaziland,Uganda,21,3,51,4,0,0,72,7,Swaziland,bat,Kigali City,Uganda
418,1283032B,2021,Integrated Polytechnic Regional Centre,Uganda,Swaziland,37,3,39,0,0,0,76,3,Swaziland,bat,Kigali City,Uganda
419,1320969A,2022,"Meersen, Gent",Gibraltar,Belgium,18,2,91,2,30,1,139,5,Belgium,field,Ghent,Belgium
419,1320969B,2022,"Meersen, Gent",Belgium,Gibraltar,74,0,68,3,0,0,142,3,Belgium,field,Ghent,Belgium
420,1270838A,2021,"Shere Bangla National Stadium, Mirpur",Bangladesh,Australia,46,1,59,3,17,3,122,7,Bangladesh,bat,Dhaka,Bangladesh
420,1270838B,2021,"Shere Bangla National Stadium, Mirpur",Australia,Bangladesh,31,1,31,8,0,0,62,9,Bangladesh,bat,Dhaka,Bangladesh
421,1184901A,2019,Kyambogo Cricket Oval,Botswana,Namibia,18,4,28,4,0,0,46,8,Botswana,bat,Kampala,Namibia
421,1184901B,2019,Kyambogo Cricket Oval,Namibia,Botswana,50,0,0,0,0,0,50,0,Botswana,bat,Kampala,Namibia
422,1328474A,2022,"Gymkhana Club Ground, Nairobi",Kenya,Nepal,34,2,54,2,42,3,130,7,Nepal,field,Nairobi,Nepal
422,1328474B,2022,"Gymkhana Club Ground, Nairobi",Nepal,Kenya,44,1,51,3,38,1,133,5,Nepal,field,Nairobi,Nepal
423,1089202A,2017,Sheikh Zayed Stadium,Papua New Guinea,United Arab Emirates,14,3,76,3,12,3,102,9,United Arab Emirates,field,Abu Dhabi,United Arab Emirates
423,1089202B,2017,Sheikh Zayed Stadium,United Arab Emirates,Papua New Guinea,50,3,58,2,0,0,108,5,United Arab Emirates,field,Abu Dhabi,United Arab Emirates
424,351695A,2009,"Brisbane Cricket Ground, Woolloongabba",South Africa,Australia,36,1,78,2,43,1,157,4,South Africa,bat,Brisbane,Australia
424,351695B,2009,"Brisbane Cricket Ground, Woolloongabba",Australia,South Africa,29,1,93,3,39,0,161,4,South Africa,bat,Brisbane,Australia
425,1320982A,2022,"Royal Brussels Cricket Club Ground, Waterloo",Belgium,Portugal,39,1,54,6,20,3,113,10,Belgium,bat,Waterloo,Portugal
425,1320982B,2022,"Royal Brussels Cricket Club Ground, Waterloo",Portugal,Belgium,52,0,58,2,4,0,114,2,Belgium,bat,Waterloo,Portugal
426,533277A,2012,R Premadasa Stadium,England,Afghanistan,52,1,79,1,65,2,196,4,Afghanistan,field,Colombo,England
426,533277B,2012,R Premadasa Stadium,Afghanistan,England,22,5,48,3,10,1,80,9,Afghanistan,field,Colombo,England
427,1321478A,2022,Bulawayo Athletic Club,Singapore,Hong Kong,48,0,55,4,43,3,146,7,Hong Kong,field,Bulawayo,Hong Kong
427,1321478B,2022,Bulawayo Athletic Club,Hong Kong,Singapore,51,1,61,1,35,1,147,3,Hong Kong,field,Bulawayo,Hong Kong
428,1321479A,2022,"Queens Sports Club, Bulawayo",Zimbabwe,Papua New Guinea,51,0,88,3,60,1,199,4,Zimbabwe,bat,Bulawayo,Zimbabwe
428,1321479B,2022,"Queens Sports Club, Bulawayo",Papua New Guinea,Zimbabwe,45,2,96,3,31,2,172,7,Zimbabwe,bat,Bulawayo,Zimbabwe
429,533276A,2012,Pallekele International Cricket Stadium,New Zealand,Bangladesh,34,1,94,1,63,1,191,3,Bangladesh,field,,New Zealand
429,533276B,2012,Pallekele International Cricket Stadium,Bangladesh,New Zealand,37,3,60,1,35,3,132,7,Bangladesh,field,,New Zealand
430,1089203A,2017,Sheikh Zayed Stadium,United Arab Emirates,Papua New Guinea,48,2,80,0,52,0,180,2,Papua New Guinea,field,Abu Dhabi,United Arab Emirates
430,1089203B,2017,Sheikh Zayed Stadium,Papua New Guinea,United Arab Emirates,62,3,62,3,26,4,150,10,Papua New Guinea,field,Abu Dhabi,United Arab Emirates
431,351694A,2009,Melbourne Cricket Ground,Australia,South Africa,69,1,85,5,28,3,182,9,Australia,bat,,Australia
431,351694B,2009,Melbourne Cricket Ground,South Africa,Australia,44,2,82,4,4,2,130,8,Australia,bat,,Australia
432,1184900A,2019,Kyambogo Cricket Oval,Nigeria,Ghana,24,1,72,3,39,3,135,7,Ghana,field,Kampala,Nigeria
432,1184900B,2019,Kyambogo Cricket Oval,Ghana,Nigeria,38,2,41,5,28,0,107,7,Ghana,field,Kampala,Nigeria
433,387563A,2009,New Wanderers Stadium,England,South Africa,56,0,103,1,43,3,202,4,South Africa,field,Johannesburg,England
433,387563B,2009,New Wanderers Stadium,South Africa,England,67,0,60,2,0,0,127,2,South Africa,field,Johannesburg,England
434,1283033A,2021,Gahanga International Cricket Stadium. Rwanda,Malawi,Seychelles,36,2,60,0,46,0,142,2,Malawi,bat,Kigali City,Malawi
434,1283033B,2021,Gahanga International Cricket Stadium. Rwanda,Seychelles,Malawi,42,2,59,1,20,5,121,8,Malawi,bat,Kigali City,Malawi
435,533289A,2012,Pallekele International Cricket Stadium,West Indies,Sri Lanka,20,2,71,2,38,1,129,5,West Indies,bat,,Sri Lanka
435,533289B,2012,Pallekele International Cricket Stadium,Sri Lanka,West Indies,55,1,75,0,0,0,130,1,West Indies,bat,,Sri Lanka
436,1333928A,2022,"Independence Park, Port Vila",Fiji,Samoa,55,2,57,4,35,3,147,9,Samoa,field,Port Vila,Fiji
436,1333928B,2022,"Independence Park, Port Vila",Samoa,Fiji,49,2,56,4,12,4,117,10,Samoa,field,Port Vila,Fiji
437,1283027A,2021,Gahanga International Cricket Stadium. Rwanda,Ghana,Lesotho,52,1,133,3,54,1,239,5,Ghana,bat,Kigali City,Ghana
437,1283027B,2021,Gahanga International Cricket Stadium. Rwanda,Lesotho,Ghana,39,0,71,7,13,1,123,8,Ghana,bat,Kigali City,Ghana
438,648683A,2014,SuperSport Park,South Africa,Australia,34,1,63,4,31,1,128,6,Australia,field,Centurion,Australia
438,648683B,2014,SuperSport Park,Australia,South Africa,55,1,74,2,0,0,129,3,Australia,field,Centurion,Australia
439,1199548A,2019,Dubai International Cricket Stadium,Ireland,Namibia,44,1,67,3,24,5,135,9,Ireland,bat,Dubai,Ireland
439,1199548B,2019,Dubai International Cricket Stadium,Namibia,Ireland,28,1,70,4,10,3,108,8,Ireland,bat,Dubai,Ireland
440,386494A,2009,AMI Stadium,India,New Zealand,56,3,61,3,45,1,162,7,New Zealand,field,Christchurch,New Zealand
440,386494B,2009,AMI Stadium,New Zealand,India,54,0,81,1,31,0,166,1,New Zealand,field,Christchurch,New Zealand
441,1177485A,2019,ICC Academy,United Arab Emirates,United States of America,49,1,104,2,29,3,182,6,United Arab Emirates,bat,Dubai,United Arab Emirates
441,1177485B,2019,ICC Academy,United States of America,United Arab Emirates,37,2,78,1,43,3,158,6,United Arab Emirates,bat,Dubai,United Arab Emirates
442,1120293A,2017,Gaddafi Stadium,Pakistan,Sri Lanka,47,0,77,2,56,1,180,3,Sri Lanka,field,Lahore,Pakistan
442,1120293B,2017,Gaddafi Stadium,Sri Lanka,Pakistan,38,3,69,3,37,3,144,9,Sri Lanka,field,Lahore,Pakistan
443,817205A,2015,Shere Bangla National Stadium,South Africa,Bangladesh,51,0,79,3,39,1,169,4,South Africa,bat,Mirpur,South Africa
443,817205B,2015,Shere Bangla National Stadium,Bangladesh,South Africa,52,1,57,6,29,3,138,10,South Africa,bat,Mirpur,South Africa
444,754719A,2014,Melbourne Cricket Ground,South Africa,Australia,36,2,41,2,24,3,101,7,South Africa,bat,,Australia
444,754719B,2014,Melbourne Cricket Ground,Australia,South Africa,54,1,48,2,0,0,102,3,South Africa,bat,,Australia
445,1317487A,2022,"Manuka Oval, Canberra",England,Australia,41,2,99,2,38,3,178,7,Australia,field,Canberra,England
445,1317487B,2022,"Manuka Oval, Canberra",Australia,England,41,2,90,3,39,1,170,6,Australia,field,Canberra,England
446,1263474A,2022,Melbourne Cricket Ground,Sri Lanka,Australia,41,1,71,2,27,5,139,8,Australia,field,Melbourne,Australia
446,1263474B,2022,Melbourne Cricket Ground,Australia,Sri Lanka,30,1,84,2,29,1,143,4,Australia,field,Melbourne,Australia
447,1289046A,2021,Gahanga International Cricket Stadium. Rwanda,Tanzania,Uganda,28,1,73,5,39,1,140,7,Tanzania,bat,Kigali City,Uganda
447,1289046B,2021,Gahanga International Cricket Stadium. Rwanda,Uganda,Tanzania,28,1,92,0,21,1,141,2,Tanzania,bat,Kigali City,Uganda
448,1280062A,2021,"ICC Academy, Dubai",Ireland,United Arab Emirates,41,0,70,3,23,3,134,6,United Arab Emirates,field,Dubai,United Arab Emirates
448,1280062B,2021,"ICC Academy, Dubai",United Arab Emirates,Ireland,39,2,94,1,6,0,139,3,United Arab Emirates,field,Dubai,United Arab Emirates
449,1328850A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Kuwait,48,0,89,1,36,4,173,5,Kuwait,field,Al Amarat,Kuwait
449,1328850B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Kuwait,United Arab Emirates,52,0,92,7,33,2,177,9,Kuwait,field,Al Amarat,Kuwait
