,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner
1216,1310938B,2022,"Queens Sports Club, Bulawayo",Namibia,Zimbabwe,45,0,66,3,35,2,146,5,Zimbabwe,bat,Bulawayo,Zimbabwe
1217,1318357A,2022,Bayer Uerdingen Cricket Ground,Germany,Austria,21,2,78,3,36,2,135,7,Austria,field,Krefeld,Germany
1217,1318357B,2022,Bayer Uerdingen Cricket Ground,Austria,Germany,42,5,39,5,0,0,81,10,Austria,field,Krefeld,Germany
1218,1115807A,2018,Westpac Stadium,Pakistan,New Zealand,24,4,46,3,35,3,105,10,New Zealand,field,Wellington,New Zealand
1218,1115807B,2018,Westpac Stadium,New Zealand,Pakistan,28,2,78,1,0,0,106,3,New Zealand,field,Wellington,New Zealand
1219,1229820A,2020,Pierre Werner Cricket Ground,Belgium,Luxembourg,35,2,82,2,48,3,165,7,Belgium,bat,Walferdange,Belgium
1219,1229820B,2020,Pierre Werner Cricket Ground,Luxembourg,Belgium,29,3,74,2,25,3,128,8,Belgium,bat,Walferdange,Belgium
1220,915783A,2015,Pallekele International Cricket Stadium,Sri Lanka,West Indies,65,0,89,2,61,1,215,3,West Indies,field,,Sri Lanka
1220,915783B,2015,Pallekele International Cricket Stadium,West Indies,Sri Lanka,56,2,92,6,37,2,185,10,West Indies,field,,Sri Lanka
1221,1122729A,2017,Barabati Stadium,India,Sri Lanka,50,1,69,2,61,0,180,3,Sri Lanka,field,Cuttack,India
1221,1122729B,2017,Barabati Stadium,Sri Lanka,India,40,2,47,8,0,0,87,10,Sri Lanka,field,Cuttack,India
1222,966745A,2016,Shere Bangla National Stadium,India,Bangladesh,31,2,84,2,51,2,166,6,Bangladesh,field,Dhaka,India
1222,966745B,2016,Shere Bangla National Stadium,Bangladesh,India,31,2,65,3,25,2,121,7,Bangladesh,field,Dhaka,India
1223,473919A,2010,Seddon Park,New Zealand,Pakistan,52,1,84,3,49,2,185,6,Pakistan,field,Hamilton,New Zealand
1223,473919B,2010,Seddon Park,Pakistan,New Zealand,58,1,56,6,32,2,146,9,Pakistan,field,Hamilton,New Zealand
1224,1277974A,2021,"Shere Bangla National Stadium, Mirpur",Bangladesh,Pakistan,25,3,67,2,35,2,127,7,Bangladesh,bat,Dhaka,Pakistan
1224,1277974B,2021,"Shere Bangla National Stadium, Mirpur",Pakistan,Bangladesh,24,3,66,1,42,1,132,5,Bangladesh,bat,Dhaka,Pakistan
1225,966751A,2016,Shere Bangla National Stadium,Pakistan,India,32,3,39,3,12,2,83,8,India,field,Mirpur,India
1225,966751B,2016,Shere Bangla National Stadium,India,Pakistan,21,1,64,1,0,0,85,2,India,field,Mirpur,India
1226,1321298A,2022,Kerava National Cricket Ground,Switzerland,Czech Republic,69,2,77,3,37,2,183,7,Switzerland,bat,Kerava,Czech Republic
1226,1321298B,2022,Kerava National Cricket Ground,Czech Republic,Switzerland,59,1,104,2,21,0,184,3,Switzerland,bat,Kerava,Czech Republic
1227,682903A,2014,Sylhet Stadium,United Arab Emirates,Netherlands,41,2,90,4,20,4,151,10,United Arab Emirates,bat,,Netherlands
1227,682903B,2014,Sylhet Stadium,Netherlands,United Arab Emirates,67,0,74,3,11,1,152,4,United Arab Emirates,bat,,Netherlands
1228,682917A,2014,Sylhet Stadium,United Arab Emirates,Zimbabwe,31,2,57,4,28,1,116,7,Zimbabwe,field,,Zimbabwe
1228,682917B,2014,Sylhet Stadium,Zimbabwe,United Arab Emirates,31,3,87,2,0,0,118,5,Zimbabwe,field,,Zimbabwe
1229,361660A,2008,Maple Leaf North-West Ground,Pakistan,Sri Lanka,35,2,67,3,30,2,132,7,Sri Lanka,field,King City,Sri Lanka
1229,361660B,2008,Maple Leaf North-West Ground,Sri Lanka,Pakistan,63,0,52,3,18,1,133,4,Sri Lanka,field,King City,Sri Lanka
1230,430884A,2009,"Vidarbha Cricket Association Stadium, Jamtha",Sri Lanka,India,43,0,109,3,63,2,215,5,India,field,Nagpur,Sri Lanka
