,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event
245,1272093A,2021,"Shere Bangla National Stadium, Mirpur",New Zealand,Bangladesh,18,4,40,5,2,1,60,10,New Zealand,bat,Dhaka,Bangladesh,New Zealand tour of Bangladesh
245,1272093B,2021,"Shere Bangla National Stadium, Mirpur",Bangladesh,New Zealand,22,2,40,1,0,0,62,3,New Zealand,bat,Dhaka,Bangladesh,New Zealand tour of Bangladesh
246,1199505A,2019,ICC Academy,Netherlands,Namibia,25,2,73,2,42,2,140,6,Netherlands,bat,Dubai,Netherlands,ICC Men's T20 World Cup Qualifier
246,1199505B,2019,ICC Academy,Namibia,Netherlands,32,4,49,4,15,2,96,10,Netherlands,bat,Dubai,Netherlands,ICC Men's T20 World Cup Qualifier
247,1197528A,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Hong Kong,50,1,76,3,59,0,185,4,Hong Kong,field,Al Amarat,Netherlands,Oman Pentangular T20I Series
247,1197528B,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,Netherlands,40,2,72,3,36,2,148,7,Hong Kong,field,Al Amarat,Netherlands,Oman Pentangular T20I Series
248,361530A,2008,"Civil Service Cricket Club, Stormont",Kenya,Ireland,22,2,42,5,3,1,67,8,Ireland,field,Belfast,Ireland,ICC World Twenty20 Qualifier
248,361530B,2008,"Civil Service Cricket Club, Stormont",Ireland,Kenya,13,2,36,4,23,0,72,6,Ireland,field,Belfast,Ireland,ICC World Twenty20 Qualifier
249,1199511A,2019,Sheikh Zayed Stadium,Hong Kong,Oman,35,1,55,6,12,3,102,10,Oman,field,Abu Dhabi,Oman,ICC Men's T20 World Cup Qualifier
249,1199511B,2019,Sheikh Zayed Stadium,Oman,Hong Kong,35,1,60,2,11,0,106,3,Oman,field,Abu Dhabi,Oman,ICC Men's T20 World Cup Qualifier
